Identificador;Descripción;Primer Subgrupo - Descripción;Grupo - Descripción
1234;Adicionales Bagueteras;Bagueteras De Aluminio;Bagueteras
1339;Agarrapizzeras;Agarrapizzeras;Utensilios
1368;Asaderas En Chapa Dd 22;Asaderas De Chapa Dd;Bandejas Para Hornos
1369;Asaderas En Chapa Galvanil 22;Asaderas De Chapa Alz;Bandejas Enlozadas
1259;Asaderas Salpicado Completo Dd 22;Asaderas Salpicado Completo;Bandejas Enlozadas
1235;Bagueteras Lisas;Bagueteras De Aluminio;Bagueteras
1244;Bagueteras Lisas Con Marco De Alambre;Bagueteras Con Marco De Alambre;Bagueteras
1245;Bagueteras Lisas Con Marco De Alambre Teflonados;Bagueteras Con Marco De Alambre;Bagueteras
1241;Bagueteras Lisas Teflón Azul;Bagueteras Con Teflón Azul;Bagueteras
1238;Bagueteras Lisas Teflón Negro;Bagueteras Con Teflón Negro;Bagueteras
1233;Bagueteras Longitudinales;Bagueteras De Aluminio;Bagueteras
1240;Bagueteras Longitudinales Teflón Azul;Bagueteras Con Teflón Azul;Bagueteras
1237;Bagueteras Longitudinales Teflón Negro;Bagueteras Con Teflón Negro;Bagueteras
1242;Bagueteras Marco Aluminizado;Bagueteras Marco Aluminizado;Bagueteras
1243;Bagueteras Marco Aluminizado Teflón Negro;Bagueteras Marco Aluminizado Teflón Negro;Bagueteras
1232;Bagueteras Transversales;Bagueteras De Aluminio;Bagueteras
1239;Bagueteras Transversales Teflón Azul;Bagueteras Con Teflón Azul;Bagueteras
1236;Bagueteras Transversales Teflón Negro;Bagueteras Con Teflón Negro;Bagueteras
1411;Bagueteras Vant Lisas;Bagueteras VANT;Bagueteras
1410;Bagueteras Vant Ondas Longitudinales;Bagueteras VANT;Bagueteras
1409;Bagueteras Vant Ondas Transversales;Bagueteras VANT;Bagueteras
1395;Bandejas Apilables De Aluminio;Bandejas Apilables;Bandejas Para Hornos
1327;Bandejas De Aisi 430;Bandejas De Acero Inoxidable;Bandejas Para Hornos
1248;Bandejas De Aluminio;Bandejas De Aluminio;Bandejas Para Hornos
1250;Bandejas De Aluminio Teflón Azul;Bandejas De Aluminio;Bandejas Para Hornos
1249;Bandejas De Aluminio Teflón Negro;Bandejas De Aluminio;Bandejas Para Hornos
1588;Bandejas Detroit Aluminizadas;Bandejas Detroit;Bandejas Para Hornos
1282;Bandejas Para Pan De Pancho;Pancheras;Bandejas Para Hornos
1277;Bandejas Planas Aluminizadas;Bandejas Planas;Bandejas Para Hornos
1279;Bandejas Planas Aluminizadas Teflón Azul;Bandejas Planas;Bandejas Para Hornos
1278;Bandejas Planas Aluminizadas Teflón Negro;Bandejas Planas;Bandejas Para Hornos
1246;Bandejas Planas De Aluminio;Bandejas Planas;Bandejas Para Hornos
1247;Bandejas Planas De Aluminio Teflón Negro;Bandejas Planas;Bandejas Para Hornos
1366;Bandejas Planas En Chapa Dd;Bandejas Planas Enlozadas;Bandejas Enlozadas
1367;Bandejas Planas En Chapa Elz;Bandejas Planas Enlozadas;Bandejas Enlozadas
1258;Bandejas Planas Enlozado Completo;Bandejas Planas Enlozadas;Bandejas Enlozadas
1313;Bases Para Horno Con Latero;Bases Para Horno;Mobiliario De Elaboración
1341;Batidores De Mano;Batidores De Mano;Utensilios
1317;Batidores Para Maquina 20 Lts;Batidores Para Maquina;Utensilios
1316;Batidores Para Maquina 36 Lts;Batidores Para Maquina;Utensilios
1325;Bombones De Inoxidable;Bombones;Bandejas Exhibidoras
1375;Cajones Y Palets;Cajones Y Palets;Código Interno
1354;Canastos Para Pan;Canastos Y Paneras;Utensilios
1332;Cañón ( Cucuruchos );Línea Hojalata;Repostería
1308;Carros Paqueteros Altos;Carros De Transporte;Carros
1304;Carros Para Pan De Miga Eng. Inferior;Carros Para Hornos Rotativos;Carros
1305;Carros Para Pan De Miga Eng. Superior;Carros Para Hornos Rotativos;Carros
1303;Carros Pizzeros De Transporte;Carros De Transporte;Carros
1301;Carros Pizzeros Para Horno Eng. Inferior;Carros Para Hornos Rotativos;Carros
1302;Carros Pizzeros Para Horno Eng. Superior;Carros Para Hornos Rotativos;Carros
1306;Carros Secapan Para Horno Eng. Inferior;Carros Para Hornos Rotativos;Carros
1307;Carros Secapan Para Horno Eng. Superior;Carros Para Hornos Rotativos;Carros
1253;Caucho;Servicio De Reciclado;Bagueteras
1347;Cepillos;Cepillos;Utensilios
1382;Chapa Cortada Para Lactales;Chapa Cortada Para Lactales;Código Interno
1400;Componentes Cuadros;Cuadros;Carros
